Date,Open(Q.FTAS),High(Q.FTAS),Low(Q.FTAS),Last(Q.FTAS)
06/10/2004,2334.89,2337.57,2327.08,2333.88
05/10/2004,2324.52,2338.33,2321.71,2334.84
04/10/2004,2311.75,2330.55,2311.75,2324.52
01/10/2004,2271.69,2312.63,2271.69,2311.63
30/09/2004,2278.41,2287.58,2271.03,2271.67
29/09/2004,2268.10,2282.67,2268.10,2278.38
28/09/2004,2256.99,2271.07,2251.84,2268.14
27/09/2004,2272.31,2272.31,2253.73,2257.01
24/09/2004,2267.48,2273.69,2263.19,2272.41
23/09/2004,2280.97,2282.54,2264.71,2267.53
22/09/2004,2288.06,2297.45,2281.05,2281.05
21/09/2004,2276.20,2290.67,2276.00,2288.06
20/09/2004,2281.90,2281.90,2269.21,2276.20
17/09/2004,2265.62,2285.54,2260.98,2281.88
16/09/2004,2261.72,2268.15,2260.49,2265.60
15/09/2004,2260.62,2272.98,2259.05,2261.69
14/09/2004,2266.78,2268.04,2258.29,2260.62
13/09/2004,2259.94,2270.86,2259.36,2266.96
10/09/2004,2255.48,2266.81,2255.48,2259.86
09/09/2004,2264.32,2264.32,2251.15,2255.48
08/09/2004,2266.21,2270.16,2261.70,2264.27
07/09/2004,2264.19,2268.75,2257.75,2266.20
06/09/2004,2256.26,2265.45,2254.90,2264.08
03/09/2004,2241.57,2256.79,2238.00,2256.21
02/09/2004,2233.15,2246.63,2227.20,2241.55
01/09/2004,2214.24,2233.15,2214.24,2233.13
31/08/2004,2226.80,2226.80,2214.12,2214.19
27/08/2004,2211.08,2226.78,2211.08,2226.78
26/08/2004,2191.55,2211.06,2191.55,2211.06
25/08/2004,2189.68,2194.83,2186.13,2191.49
24/08/2004,2187.71,2195.45,2186.61,2189.65
23/08/2004,2169.78,2194.32,2169.78,2187.70
20/08/2004,2166.93,2171.33,2161.42,2169.76
19/08/2004,2161.66,2173.58,2161.66,2166.93
18/08/2004,2162.73,2163.44,2151.11,2161.64
17/08/2004,2157.81,2168.58,2153.08,2162.74
16/08/2004,2136.51,2158.93,2128.68,2157.79
13/08/2004,2148.15,2150.85,2134.90,2136.53
12/08/2004,2141.13,2154.80,2141.13,2148.20
11/08/2004,2158.05,2158.80,2131.50,2141.14
10/08/2004,2140.91,2158.02,2140.49,2158.02
09/08/2004,2153.48,2158.07,2132.41,2140.91
06/08/2004,2188.56,2188.56,2153.47,2153.47
05/08/2004,2186.27,2197.23,2186.27,2188.68
04/08/2004,2199.10,2199.10,2173.93,2186.24
03/08/2004,2193.01,2199.17,2189.92,2199.17
02/08/2004,2192.23,2193.82,2182.79,2192.98
30/07/2004,2194.14,2197.05,2186.20,2192.22
29/07/2004,2165.62,2194.40,2165.62,2194.10
28/07/2004,2152.00,2172.03,2152.00,2165.64
27/07/2004,2135.39,2152.01,2135.39,2152.01
26/07/2004,2155.12,2157.91,2133.99,2135.40
23/07/2004,2147.17,2165.42,2147.17,2155.13
22/07/2004,2180.71,2180.71,2147.17,2147.17
21/07/2004,2163.60,2187.10,2163.60,2180.90
20/07/2004,2157.10,2166.70,2146.90,2163.50
19/07/2004,2165.40,2169.60,2157.20,2157.20
16/07/2004,2164.40,2173.10,2160.30,2165.40
15/07/2004,2178.90,2178.90,2164.40,2164.40
14/07/2004,2174.90,2178.90,2158.70,2178.90
13/07/2004,2174.90,2183.40,2172.20,2174.90
12/07/2004,2188.80,2190.10,2172.00,2174.90
09/07/2004,2183.70,2188.80,2173.40,2188.80
08/07/2004,2176.00,2183.90,2160.40,2183.70
07/07/2004,2182.10,2191.40,2175.60,2176.00
06/07/2004,2198.70,2203.30,2181.40,2182.20
05/07/2004,2202.00,2208.30,2198.70,2198.70
02/07/2004,2210.40,2212.50,2198.20,2202.00
01/07/2004,2228.70,2239.10,2210.50,2210.50
