Date,Open(Q.DJI),High(Q.DJI),Low(Q.DJI),Last(Q.DJI)
23/02/2004,10619.55,10644.96,10560.44,10609.62
20/02/2004,10666.29,10688.22,10580.66,10619.03
19/02/2004,10674.59,10753.63,10656.59,10664.73
18/02/2004,10706.68,10720.51,10646.96,10671.99
17/02/2004,10628.88,10735.25,10628.74,10714.88
13/02/2004,10696.22,10734.69,10604.14,10627.85
12/02/2004,10735.18,10735.29,10688.36,10694.07
11/02/2004,10605.48,10746.88,10572.59,10737.70
10/02/2004,10578.74,10626.66,10559.26,10613.85
09/02/2004,10592,10618.51,10564.44,10579.03
06/02/2004,10494.89,10593.4,10464.52,10593.03
05/02/2004,10469.33,10522.52,10453.55,10495.55
04/02/2004,10503.11,10524.22,10447.18,10470.74
03/02/2004,10499.48,10528.96,10457.11,10505.18
02/02/2004,10487.78,10568.96,10434.67,10499.18
30/01/2004,10510.22,10510.81,10438.96,10488.07
29/01/2004,10467.41,10522.59,10417.85,10510.29
28/01/2004,10610.07,10658.43,10437.78,10468.37
27/01/2004,10701.1,10701.77,10609.92,10609.92
26/01/2004,10568,10705.18,10561.85,10702.51
23/01/2004,10625.25,10643.48,10523.85,10568.29
22/01/2004,10624.22,10660.88,10607.4,10623.18
21/01/2004,10522.77,10643.55,10490.96,10623.62
20/01/2004,10601.4,10616.96,10519.49,10528.66
16/01/2004,10556.37,10600.74,10542.52,10600.51
15/01/2004,10534.52,10592.74,10477.18,10553.85
14/01/2004,10428.67,10548.51,10428.67,10538.37
13/01/2004,10485.18,10509.85,10367.41,10427.18
12/01/2004,10461.55,10491.63,10444.15,10485.18
09/01/2004,10589.25,10589.25,10448.67,10458.89
08/01/2004,10530.07,10592.59,10530.07,10592.44
07/01/2004,10535.46,10539.46,10466.29,10529.03
06/01/2004,10543.85,10549.18,10499.85,10538.66
05/01/2004,10411.85,10544.07,10411.85,10544.07
02/01/2004,10452.74,10527.03,10384.3,10409.85
31/12/2003,10426.3,10462.44,10407.04,10453.92
30/12/2003,10449.7,10456.07,10405.85,10425.04
29/12/2003,10321.35,10450,10321.35,10450.00
26/12/2003,10305.85,10343.04,10304.82,10324.67
24/12/2003,10341.41,10341.48,10305.12,10305.19
23/12/2003,10337.56,10375.93,10296.15,10341.26
22/12/2003,10276.48,10338,10255.26,10338.00
19/12/2003,10249.48,10293.19,10230.08,10278.22
18/12/2003,10141.41,10254.08,10137.34,10248.08
17/12/2003,10128.75,10146.38,10094.75,10145.26
16/12/2003,10023.34,10137.63,10023.34,10129.56
15/12/2003,10046.53,10139.63,10021.64,10022.82
12/12/2003,10008.75,10052.07,9976.79,10042.16
11/12/2003,9922.45,10026.53,9920.97,10008.16
10/12/2003,9922.38,9958.38,9882.38,9921.86
09/12/2003,9966.45,10003.12,9916.9,9923.42
08/12/2003,9862.01,9970.16,9859.57,9965.27
05/12/2003,9923.27,9923.42,9846.31,9862.68
04/12/2003,9874.83,9933.86,9865.78,9930.82
03/12/2003,9851.94,9942.01,9851.42,9873.42
02/12/2003,9899.64,9900.45,9837.27,9853.64
01/12/2003,9785.35,9902.23,9785.35,9899.05
28/11/2003,9779.72,9804.98,9764.83,9782.46
26/11/2003,9763.49,9794.68,9706.01,9779.57
25/11/2003,9748.68,9795.21,9723.79,9763.94
24/11/2003,9629.87,9749.35,9629.87,9747.79
21/11/2003,9622.02,9650.31,9585.5,9628.53
20/11/2003,9688.46,9726.09,9613.72,9619.42
19/11/2003,9620.68,9707.64,9614.24,9690.46
18/11/2003,9711.44,9750.46,9622.39,9624.16
17/11/2003,9765.64,9765.64,9629.87,9710.83
14/11/2003,9836.46,9892.97,9737.79,9768.68
13/11/2003,9846.97,9852.9,9792.01,9837.94
12/11/2003,9729.5,9859.34,9729.42,9848.83
11/11/2003,9756.53,9761.2,9719.05,9737.79
10/11/2003,9807.49,9824.38,9736.9,9756.53
07/11/2003,9857.12,9903.57,9798.61,9809.79
06/11/2003,9820.68,9870.6,9773.12,9856.97
05/11/2003,9837.64,9859.34,9778.31,9820.83
04/11/2003,9857.49,9874.83,9819.86,9838.83
03/11/2003,9802.46,9896.16,9802.38,9858.46
31/10/2003,9786.75,9839.86,9786.75,9801.12
30/10/2003,9772.01,9838.76,9754.01,9786.61
29/10/2003,9747.05,9787.27,9724.68,9774.53
28/10/2003,9609.72,9749.94,9609.72,9748.31
27/10/2003,9584.54,9663.79,9584.54,9608.16
24/10/2003,9600.98,9600.98,9497.72,9582.46
23/10/2003,9597.2,9622.16,9551.73,9613.13
22/10/2003,9741.98,9742.05,9580.24,9598.24
21/10/2003,9778.31,9784.31,9736.68,9747.64
20/10/2003,9721.5,9777.94,9705.57,9777.94
17/10/2003,9791.86,9815.79,9701.72,9721.79
16/10/2003,9798.68,9823.42,9730.38,9791.72
15/10/2003,9824.09,9850.01,9764.46,9803.05
14/10/2003,9763.27,9812.98,9732.31,9812.98
13/10/2003,9675.72,9783.49,9675.57,9764.38
10/10/2003,9682.9,9712.24,9656.53,9674.68
09/10/2003,9633.35,9768.69,9633.2,9680.01
08/10/2003,9653.33,9672.02,9595.28,9630.90
07/10/2003,9593.28,9654.61,9536.02,9654.61
06/10/2003,9572.39,9624.91,9562.53,9594.98
03/10/2003,9492.54,9666.53,9492.54,9572.31
02/10/2003,9464.76,9511.06,9427.65,9487.80
01/10/2003,9276.8,9472.76,9276.8,9469.20
30/09/2003,9378.1,9378.1,9230.47,9275.06
29/09/2003,9314.42,9395.32,9293.22,9380.24
26/09/2003,9342.43,9358.28,9303.82,9313.08
25/09/2003,9425.58,9458.49,9342.98,9343.96
