Date,Open(Q.DJI),High(Q.DJI),Low(Q.DJI),Last(Q.DJI)
18/04/1920,103.94,105.18,103.94,104.45
11/04/1920,102.98,105.65,102.98,105.23
04/04/1920,102.23,102.81,102.23,102.66
28/03/1920,104.17,104.17,100.33,103.40
21/03/1920,100.55,103.98,100.39,103.56
14/03/1920,97.38,99.80,97.11,99.31
07/03/1920,92.40,94.58,91.68,94.55
29/02/1920,92.98,92.98,89.98,91.31
22/02/1920,92.60,95.63,92.60,95.63
15/02/1920,95.73,95.73,90.66,94.21
08/02/1920,103.01,103.01,95.50,96.13
01/02/1920,103.74,104.21,103.60,103.82
25/01/1920,102.72,103.48,101.90,102.65
18/01/1920,104.22,104.53,101.94,102.43
11/01/1920,108.85,108.85,106.33,106.33
04/01/1920,105.18,109.88,105.18,109.88
28/12/1919,103.55,106.08,103.55,106.08
21/12/1919,105.06,107.26,103.78,104.55
14/12/1919,107.83,107.83,103.73,105.61
07/12/1919,104.03,107.97,104.03,107.39
30/11/1919,108.86,109.02,103.60,103.60
23/11/1919,109.09,109.09,106.15,108.42
16/11/1919,112.93,112.93,107.15,109.81
09/11/1919,119.62,119.62,115.54,115.54
02/11/1919,114.88,118.92,114.88,118.63
26/10/1919,115.43,117.62,112.73,112.73
19/10/1919,112.41,113.20,112.41,113.20
12/10/1919,112.04,114.42,112.04,114.39
05/10/1919,110.32,111.42,108.90,110.26
28/09/1919,106.30,110.06,106.30,110.06
21/09/1919,108.39,108.81,104.99,104.99
14/09/1919,106.51,108.30,106.51,108.30
07/09/1919,106.26,108.55,106.26,106.33
31/08/1919,101.63,104.75,101.63,104.75
24/08/1919,99.70,101.44,98.46,101.44
17/08/1919,103.94,105.10,102.25,102.25
10/08/1919,102.82,105.78,100.80,104.33
03/08/1919,110.94,110.94,107.16,107.99
27/07/1919,107.24,111.10,107.24,111.10
20/07/1919,112.23,112.23,110.65,110.69
13/07/1919,109.41,110.71,109.41,110.71
06/07/1919,106.98,109.90,106.98,109.90
29/06/1919,106.09,107.14,104.58,107.14
22/06/1919,99.56,106.45,99.56,106.45
15/06/1919,107.35,107.35,102.78,102.78
08/06/1919,106.92,107.55,103.83,107.55
01/06/1919,103.80,105.50,103.58,105.50
25/05/1919,99.16,101.60,99.16,101.60
18/05/1919,98.53,100.37,98.53,100.10
11/05/1919,94.92,98.61,94.92,98.19
04/05/1919,93.17,94.78,92.88,94.78
27/04/1919,92.21,92.48,91.65,92.48
20/04/1919,90.48,91.67,90.48,91.67
13/04/1919,90.18,91.01,89.61,89.61
06/04/1919,88.85,89.65,88.84,89.65
30/03/1919,87.97,88.88,86.83,88.88
23/03/1919,88.41,89.05,87.81,88.66
16/03/1919,87.43,88.30,87.43,87.68
09/03/1919,85.58,87.27,84.24,87.27
02/03/1919,84.62,85.68,84.04,84.04
23/02/1919,82.55,84.21,81.92,84.21
16/02/1919,79.65,81.96,79.65,81.96
09/02/1919,80.91,81.08,79.15,79.15
02/02/1919,81.47,81.60,80.55,80.55
26/01/1919,80.14,81.75,79.88,81.33
19/01/1919,81.79,82.40,80.93,80.93
12/01/1919,82.45,82.76,81.66,81.66
05/01/1919,80.78,83.35,80.78,83.05
29/12/1918,81.51,81.55,80.44,81.55
22/12/1918,83.23,83.41,81.72,81.89
15/12/1918,83.41,84.50,82.65,82.96
08/12/1918,81.13,82.89,81.13,82.71
01/12/1918,79.87,81.43,79.87,81.13
24/11/1918,85.01,85.01,81.83,81.83
17/11/1918,86.56,86.56,85.35,85.35
10/11/1918,85.74,88.06,85.74,88.06
03/11/1918,87.28,87.28,84.08,85.23
27/10/1918,88.15,88.15,86.52,87.70
20/10/1918,86.35,89.07,86.21,88.88
13/10/1918,84.35,84.83,83.36,84.83
06/10/1918,84.68,85.31,83.95,84.87
29/09/1918,82.44,84.03,82.44,83.85
22/09/1918,81.48,82.33,81.48,82.33
15/09/1918,81.80,81.80,80.29,81.49
08/09/1918,83.84,83.84,82.56,82.91
01/09/1918,82.93,83.18,82.46,82.84
25/08/1918,81.63,82.83,81.61,82.83
18/08/1918,81.58,81.77,81.51,81.51
11/08/1918,81.57,82.04,80.97,82.04
04/08/1918,81.10,81.23,80.71,80.90
28/07/1918,81.22,81.51,80.51,81.49
21/07/1918,80.58,82.92,80.58,82.29
14/07/1918,82.60,82.76,81.09,81.15
07/07/1918,81.81,83.20,81.81,83.20
30/06/1918,82.50,83.02,82.40,82.68
23/06/1918,80.61,81.95,80.61,81.95
16/06/1918,78.93,81.21,78.93,81.21
09/06/1918,78.55,79.60,78.53,79.16
02/06/1918,78.65,78.65,77.93,77.93
26/05/1918,82.47,82.87,81.16,81.16
19/05/1918,82.16,84.04,82.16,83.35
12/05/1918,79.36,81.82,79.36,81.82
05/05/1918,77.79,78.90,77.51,78.59
28/04/1918,79.42,79.42,77.86,77.86
21/04/1918,77.51,79.73,76.89,79.73
14/04/1918,77.69,77.69,75.58,76.01
07/04/1918,77.16,77.95,76.69,77.95
31/03/1918,76.45,76.72,76.41,76.72
24/03/1918,77.93,78.71,76.24,76.24
17/03/1918,79.78,79.78,78.67,78.98
10/03/1918,79.01,79.71,79.01,79.71
03/03/1918,79.17,80.65,78.98,78.98
24/02/1918,81.53,82.08,79.88,79.88
17/02/1918,78.73,80.08,78.71,80.08
10/02/1918,79.28,79.28,77.78,78.98
03/02/1918,77.13,79.80,76.98,79.77
27/01/1918,76.11,76.50,75.43,76.44
20/01/1918,73.48,74.89,73.38,74.89
13/01/1918,74.86,76.33,74.48,74.48
06/01/1918,74.38,76.68,73.75,73.75
30/12/1917,69.29,72.45,68.33,72.45
23/12/1917,67.08,68.25,65.95,68.23
16/12/1917,70.49,70.49,66.96,67.53
09/12/1917,72.55,72.55,70.29,70.31
02/12/1917,74.03,74.03,72.65,72.86
25/11/1917,71.51,74.23,71.51,73.51
18/11/1917,70.65,70.65,69.10,70.41
11/11/1917,69.93,71.54,68.58,70.30
04/11/1917,76.28,76.28,71.41,72.32
28/10/1917,79.06,79.06,77.35,78.91
21/10/1917,75.13,79.80,75.13,79.80
14/10/1917,80.48,80.48,77.32,77.83
07/10/1917,83.58,83.58,80.62,81.35
30/09/1917,85.70,86.02,83.46,83.81
23/09/1917,81.55,85.23,81.55,84.53
16/09/1917,83.88,83.88,82.19,83.04
09/09/1917,81.20,83.66,81.20,83.18
02/09/1917,88.40,88.40,83.40,83.40
26/08/1917,91.27,91.27,88.15,89.06
19/08/1917,92.65,92.65,91.42,91.42
12/08/1917,93.85,93.85,91.47,91.81
05/08/1917,92.13,92.96,91.75,92.96
29/07/1917,91.61,92.11,91.24,92.11
22/07/1917,91.38,92.61,90.48,92.61
15/07/1917,93.64,94.14,92.33,92.57
08/07/1917,95.23,95.31,93.57,94.28
01/07/1917,97.57,97.57,95.38,95.87
24/06/1917,94.89,97.60,94.78,97.60
17/06/1917,97.86,98.31,96.95,96.95
10/06/1917,97.00,99.08,97.00,99.08
03/06/1917,97.20,97.89,97.20,97.59
27/05/1917,93.47,97.58,93.47,97.58
20/05/1917,90.78,92.75,90.19,92.37
13/05/1917,91.20,91.20,89.08,89.62
06/05/1917,93.23,93.42,90.20,90.20
29/04/1917,90.96,93.10,90.66,92.65
22/04/1917,92.21,92.21,90.84,90.98
15/04/1917,92.41,93.76,91.20,93.76
08/04/1917,97.06,97.06,93.10,93.10
01/04/1917,96.32,97.01,95.41,95.41
25/03/1917,96.97,98.20,96.78,97.73
18/03/1917,95.03,96.22,95.03,96.22
11/03/1917,95.04,96.78,95.04,96.78
04/03/1917,93.35,93.63,91.10,93.63
25/02/1917,93.66,94.91,92.22,92.22
18/02/1917,92.37,92.70,91.65,92.70
11/02/1917,92.03,92.81,90.20,91.56
04/02/1917,95.78,95.83,87.01,89.97
28/01/1917,96.60,97.41,96.26,96.71
